2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  Training-Free Semantic Routing — PopQA v13          ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ║  2 PRE × 4 POST = 8 runs (Query Exp. + Caching)      ║
2026-05-16T20:58:20 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:20 [WARNING ] PopQA_v13: The JSON file contains 1273 queries, fewer than the 1500 requested in CONFIG. Proceeding with all available queries.
2026-05-16T20:58:20 [INFO    ] PopQA_v13: Queries loaded for ablation: 1273
2026-05-16T20:58:20 [INFO    ] PopQA_v13: [FAISS] Loading: c:\Users\Utente\Desktop\Progetto_Routing_RAG\db_indexes\popqa_expanded.faiss
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [FAISS] 1527 vectors, dim=384
2026-05-16T20:58:24 [INFO    ] PopQA_v13: [LLM] Loading (logits_all=True, gpu_layers=26)...
2026-05-16T20:58:29 [INFO    ] PopQA_v13: [LLM] Ready.
2026-05-16T20:58:29 [INFO    ] PopQA_v13: Router v13: 2 PRE × 4 POST = 8 total runs
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╔══════════════════════════════════════════════════════╗
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ║  PopQA Ablation v13:  8 run × 1273 query = 10184 total ║
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ╚══════════════════════════════════════════════════════╝
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   RUN  1/8: Always_Retrieve × Always_FAISS
2026-05-16T20:58:29 [INFO    ] PopQA_v13: ────────────────────────────────────────────────────────────
2026-05-16T20:58:29 [INFO    ] PopQA_v13:   [   1/10184 |  0.0%] [low|pop=     44] What is the religion of Angelo Maria Rivato?
2026-05-17T04:31:49 [INFO    ] PopQA_v13:   [4116/10184 | 40.4%] [hig|pop=  75669] Who was the producer of The Imitation Game?
2026-05-17T04:31:59 [INFO    ] PopQA_v13:   [4117/10184 | 40.4%] [med|pop=    802] Who was the screenwriter for Special?
2026-05-17T04:32:05 [INFO    ] PopQA_v13:   [4118/10184 | 40.4%] [med|pop=    437] Who was the screenwriter for Safe?
2026-05-17T04:32:11 [INFO    ] PopQA_v13:   [4119/10184 | 40.4%] [hig|pop=   4143] Who was the composer of Listen?
2026-05-17T04:32:20 [INFO    ] PopQA_v13:   [4120/10184 | 40.5%] [low|pop=     93] What is the religion of Bernard William Schmitt?
2026-05-17T04:32:24 [INFO    ] PopQA_v13:   [4121/10184 | 40.5%] [hig|pop=   8242] In what country is Valparaiso University?
2026-05-17T04:32:30 [INFO    ] PopQA_v13:   [4122/10184 | 40.5%] [low|pop=      2] In what country is Valea Seacă River?
2026-05-17T04:32:36 [INFO    ] PopQA_v13:   [4123/10184 | 40.5%] [med|pop=    230] Who is the author of Question and Answer?
2026-05-17T04:32:40 [INFO    ] PopQA_v13:   [4124/10184 | 40.5%] [med|pop=    290] What genre is Need to Believe?
2026-05-17T04:32:47 [INFO    ] PopQA_v13:   [4125/10184 | 40.5%] [hig|pop=  21156] What is the religion of magi?
2026-05-17T04:32:53 [INFO    ] PopQA_v13:   [4126/10184 | 40.5%] [low|pop=     90] What is Virginia Haviland's occupation?
2026-05-17T04:33:00 [INFO    ] PopQA_v13:   [4127/10184 | 40.5%] [med|pop=    193] Who was the producer of Arizona?
2026-05-17T04:33:06 [INFO    ] PopQA_v13:   [4128/10184 | 40.5%] [hig|pop=  33713] Who is the author of The Road?
2026-05-17T04:33:15 [INFO    ] PopQA_v13:   [4129/10184 | 40.5%] [med|pop=    237] Who is the author of Experience?
2026-05-17T04:33:22 [INFO    ] PopQA_v13:   [4130/10184 | 40.6%] [med|pop=    585] Who was the screenwriter for Red River Valley?
2026-05-17T04:33:27 [INFO    ] PopQA_v13:   [4131/10184 | 40.6%] [med|pop=    274] What sport does Canada women's national field hockey te
2026-05-17T04:33:33 [INFO    ] PopQA_v13:   [4132/10184 | 40.6%] [low|pop=     54] What genre is Pieter Jacobsz Duyfhuysen?
2026-05-17T04:33:41 [INFO    ] PopQA_v13:   [4133/10184 | 40.6%] [med|pop=    450] Who is the father of Charles Catton the younger?
2026-05-17T04:33:47 [INFO    ] PopQA_v13:   [4134/10184 | 40.6%] [hig|pop= 367408] What is the capital of Mexico?
2026-05-17T04:33:56 [INFO    ] PopQA_v13:   [4135/10184 | 40.6%] [hig|pop=   4795] What genre is The Guardian?
2026-05-17T04:34:05 [INFO    ] PopQA_v13:   [4136/10184 | 40.6%] [med|pop=    232] Who was the producer of The Jack-Knife Man?
2026-05-17T04:34:12 [INFO    ] PopQA_v13:   [4137/10184 | 40.6%] [low|pop=     37] In what country is Dasht Jeyhun?
2026-05-17T04:34:17 [INFO    ] PopQA_v13:   [4138/10184 | 40.6%] [med|pop=    153] What genre is A Place to Live?
2026-05-17T04:34:23 [INFO    ] PopQA_v13:   [4139/10184 | 40.6%] [med|pop=    633] In what city was Nissim of Gerona born?
2026-05-17T04:34:32 [INFO    ] PopQA_v13:   [4140/10184 | 40.7%] [low|pop=     60] In what country is United States Post Office and Courth
2026-05-17T04:34:42 [INFO    ] PopQA_v13:   [4141/10184 | 40.7%] [med|pop=    265] What genre is The Marriage?
2026-05-17T04:34:47 [INFO    ] PopQA_v13:   [4142/10184 | 40.7%] [med|pop=    226] Who was the director of 15 Maiden Lane?
2026-05-17T04:34:53 [INFO    ] PopQA_v13:   [4143/10184 | 40.7%] [low|pop=     88] In what country is Lätäseno?
2026-05-17T04:34:59 [INFO    ] PopQA_v13:   [4144/10184 | 40.7%] [low|pop=     68] What sport does Roberto Nani play?
2026-05-17T04:35:03 [INFO    ] PopQA_v13:   [4145/10184 | 40.7%] [low|pop=     24] In what country is Devalan?
2026-05-17T04:35:07 [INFO    ] PopQA_v13:   [4146/10184 | 40.7%] [hig|pop=   5647] Who was the screenwriter for Life?
2026-05-17T04:35:13 [INFO    ] PopQA_v13:   [4147/10184 | 40.7%] [hig|pop=   2668] What genre is Metal Heart?
2026-05-17T04:35:20 [INFO    ] PopQA_v13:   [4148/10184 | 40.7%] [hig|pop= 154447] What genre is Lost?
2026-05-17T04:35:27 [INFO    ] PopQA_v13:   [4149/10184 | 40.7%] [low|pop=     44] What sport does Yuri Koroviansky play?
2026-05-17T04:35:33 [INFO    ] PopQA_v13:   [4150/10184 | 40.8%] [hig|pop= 122060] What is Vienna the capital of?
2026-05-17T04:35:41 [INFO    ] PopQA_v13:   [4151/10184 | 40.8%] [hig|pop=   4211] What is Lutsk the capital of?
2026-05-17T04:35:47 [INFO    ] PopQA_v13:   [4152/10184 | 40.8%] [low|pop=     56] Who is the author of Darkness?
2026-05-17T04:35:50 [INFO    ] PopQA_v13:   [4153/10184 | 40.8%] [med|pop=    421] Who was the director of Pushyaraagam?
2026-05-17T04:35:55 [INFO    ] PopQA_v13:   [4154/10184 | 40.8%] [low|pop=     88] What sport does 2009 Atlantic Coast Conference Baseball
2026-05-17T04:36:02 [INFO    ] PopQA_v13:   [4155/10184 | 40.8%] [med|pop=    327] Who was the producer of Le Gang?
2026-05-17T04:36:09 [INFO    ] PopQA_v13:   [4156/10184 | 40.8%] [low|pop=     24] In what country is canton of Baugy?
2026-05-17T04:36:16 [INFO    ] PopQA_v13:   [4157/10184 | 40.8%] [hig|pop=  63056] What is Victoria the capital of?
2026-05-17T04:36:23 [INFO    ] PopQA_v13:   [4158/10184 | 40.8%] [med|pop=    133] Who is the author of Merry Tales?
2026-05-17T04:36:28 [INFO    ] PopQA_v13:   [4159/10184 | 40.8%] [hig|pop= 238255] What is the capital of Utah?
2026-05-17T04:36:39 [INFO    ] PopQA_v13:   [4160/10184 | 40.8%] [hig|pop=  21912] Who was the screenwriter for The Commitments?
2026-05-17T04:36:45 [INFO    ] PopQA_v13:   [4161/10184 | 40.9%] [med|pop=    995] Who was the producer of Silhouette?
2026-05-17T04:36:52 [INFO    ] PopQA_v13:   [4162/10184 | 40.9%] [hig|pop=  22918] What genre is The Association?
2026-05-17T04:36:58 [INFO    ] PopQA_v13:   [4163/10184 | 40.9%] [low|pop=     61] In what country is Riethnordhausen?
2026-05-17T04:37:05 [INFO    ] PopQA_v13:   [4164/10184 | 40.9%] [hig|pop=   3054] Who was the producer of Bloodstone?
2026-05-17T04:37:10 [INFO    ] PopQA_v13:   [4165/10184 | 40.9%] [low|pop=     81] In what country is Kalateh-ye Safdarabad?
2026-05-17T04:37:16 [INFO    ] PopQA_v13:   [4166/10184 | 40.9%] [med|pop=    386] Who was the producer of The Oak?
2026-05-17T04:37:21 [INFO    ] PopQA_v13:   [4167/10184 | 40.9%] [hig|pop=   3897] Who was the director of Anything Else?
2026-05-17T04:37:27 [INFO    ] PopQA_v13:   [4168/10184 | 40.9%] [low|pop=     86] Who was the director of The Last Word?
2026-05-17T04:37:32 [INFO    ] PopQA_v13:   [4169/10184 | 40.9%] [hig|pop=   3509] What genre is The Shout?
2026-05-17T04:37:39 [INFO    ] PopQA_v13:   [4170/10184 | 40.9%] [med|pop=    514] Who was the screenwriter for On Tour?
2026-05-17T04:37:45 [INFO    ] PopQA_v13:   [4171/10184 | 41.0%] [med|pop=    720] Who was the composer of Something Wonderful?
2026-05-17T04:37:54 [INFO    ] PopQA_v13:   [4172/10184 | 41.0%] [med|pop=    112] What is the religion of state?
2026-05-17T04:38:00 [INFO    ] PopQA_v13:   [4173/10184 | 41.0%] [low|pop=     41] What sport does Alexandru Chiculiță play?
2026-05-17T04:38:07 [INFO    ] PopQA_v13:   [4174/10184 | 41.0%] [med|pop=    349] What genre is Time?
2026-05-17T04:38:14 [INFO    ] PopQA_v13:   [4175/10184 | 41.0%] [med|pop=    530] What genre is Grass?
2026-05-17T04:38:19 [INFO    ] PopQA_v13:   [4176/10184 | 41.0%] [hig|pop=  27337] Who was the screenwriter for Brooklyn?
2026-05-17T04:38:24 [INFO    ] PopQA_v13:   [4177/10184 | 41.0%] [hig|pop=   1852] Who was the producer of La Mission?
2026-05-17T04:38:32 [INFO    ] PopQA_v13:   [4178/10184 | 41.0%] [low|pop=     47] In what country is Asahi Station?
2026-05-17T04:38:36 [INFO    ] PopQA_v13:   [4179/10184 | 41.0%] [hig|pop=   3646] What genre is Exists?
2026-05-17T04:38:45 [INFO    ] PopQA_v13:   [4180/10184 | 41.0%] [low|pop=     45] What is the religion of Kenneth Bevan?
2026-05-17T04:38:51 [INFO    ] PopQA_v13:   [4181/10184 | 41.1%] [hig|pop=   1432] Who is the father of Senhime?
2026-05-17T04:38:59 [INFO    ] PopQA_v13:   [4182/10184 | 41.1%] [low|pop=     32] What is the capital of canton of Saint-Doulchard?
2026-05-17T04:39:06 [INFO    ] PopQA_v13:   [4183/10184 | 41.1%] [hig|pop=  11036] What genre is The Brides of Dracula?
2026-05-17T04:39:15 [INFO    ] PopQA_v13:   [4184/10184 | 41.1%] [hig|pop=   3528] What is Eric Flynn's occupation?
2026-05-17T04:39:20 [INFO    ] PopQA_v13:   [4185/10184 | 41.1%] [med|pop=    855] Who was the director of K-9000?
2026-05-17T04:39:28 [INFO    ] PopQA_v13:   [4186/10184 | 41.1%] [low|pop=     80] In what city was Aleksandr Nekrasov born?
2026-05-17T04:39:36 [INFO    ] PopQA_v13:   [4187/10184 | 41.1%] [low|pop=     40] Who is the father of John Donkin?
2026-05-17T04:39:42 [INFO    ] PopQA_v13:   [4188/10184 | 41.1%] [med|pop=    227] What genre is The Divorce?
2026-05-17T04:39:45 [INFO    ] PopQA_v13:   [4189/10184 | 41.1%] [med|pop=    275] Who was the director of By Design?
2026-05-17T04:39:50 [INFO    ] PopQA_v13:   [4190/10184 | 41.1%] [med|pop=    763] Who was the director of Dry?
2026-05-17T04:39:55 [INFO    ] PopQA_v13:   [4191/10184 | 41.2%] [med|pop=    198] Who was the director of Escape?
2026-05-17T04:40:02 [INFO    ] PopQA_v13:   [4192/10184 | 41.2%] [low|pop=     92] Who was the director of Practical Jokers?
2026-05-17T04:40:08 [INFO    ] PopQA_v13:   [4193/10184 | 41.2%] [med|pop=    817] Who was the director of Manhattan?
2026-05-17T04:40:14 [INFO    ] PopQA_v13:   [4194/10184 | 41.2%] [hig|pop=  42023] Who is the father of Tokugawa Ieyasu?
2026-05-17T04:40:24 [INFO    ] PopQA_v13:   [4195/10184 | 41.2%] [low|pop=     45] What is Thomas Challis's occupation?
2026-05-17T04:40:30 [INFO    ] PopQA_v13:   [4196/10184 | 41.2%] [hig|pop=   1304] Who was the composer of Smile?
2026-05-17T04:40:40 [INFO    ] PopQA_v13:   [4197/10184 | 41.2%] [med|pop=    317] Who was the screenwriter for The inn?
2026-05-17T04:40:47 [INFO    ] PopQA_v13:   [4198/10184 | 41.2%] [low|pop=     87] What is James Alex Msekela's occupation?
2026-05-17T04:40:52 [INFO    ] PopQA_v13:   [4199/10184 | 41.2%] [hig|pop=  42609] Who was the screenwriter for Mississippi Burning?
2026-05-17T04:40:59 [INFO    ] PopQA_v13:   [4200/10184 | 41.2%] [low|pop=      8] In what country is Dârmocsa River?
2026-05-17T04:41:07 [INFO    ] PopQA_v13:   [4201/10184 | 41.3%] [med|pop=    622] Who is the author of Quad?
2026-05-17T04:41:14 [INFO    ] PopQA_v13:   [4202/10184 | 41.3%] [hig|pop=   5856] Who was the director of Stonewall?
2026-05-17T04:41:19 [INFO    ] PopQA_v13:   [4203/10184 | 41.3%] [low|pop=     67] Who was the producer of In the Family?
2026-05-17T04:41:24 [INFO    ] PopQA_v13:   [4204/10184 | 41.3%] [hig|pop=  17011] Who was the director of The Car?
2026-05-17T04:41:30 [INFO    ] PopQA_v13:   [4205/10184 | 41.3%] [hig|pop=   4453] Who was the composer of Winner?
2026-05-17T04:41:39 [INFO    ] PopQA_v13:   [4206/10184 | 41.3%] [low|pop=     44] In what country is Chotýčany?
2026-05-17T04:41:45 [INFO    ] PopQA_v13:   [4207/10184 | 41.3%] [hig|pop=  19543] Who was the screenwriter for Persona?
2026-05-17T04:41:52 [INFO    ] PopQA_v13:   [4208/10184 | 41.3%] [low|pop=     98] Who was the producer of Just Like Us?
2026-05-17T04:41:59 [INFO    ] PopQA_v13:   [4209/10184 | 41.3%] [low|pop=     51] In what city was Bob Cremins born?
2026-05-17T04:42:04 [INFO    ] PopQA_v13:   [4210/10184 | 41.3%] [low|pop=     56] In what country is Morales de Campos?
2026-05-17T04:42:11 [INFO    ] PopQA_v13:   [4211/10184 | 41.3%] [low|pop=     75] What is Rich Brightman's occupation?
2026-05-17T04:42:14 [INFO    ] PopQA_v13:   [4212/10184 | 41.4%] [med|pop=    218] Who is the author of Big Money?
2026-05-17T04:42:22 [INFO    ] PopQA_v13:   [4213/10184 | 41.4%] [med|pop=    116] What genre is Now I Know?
2026-05-17T04:42:29 [INFO    ] PopQA_v13:   [4214/10184 | 41.4%] [hig|pop=  21092] Who was the producer of Ram?
2026-05-17T04:42:35 [INFO    ] PopQA_v13:   [4215/10184 | 41.4%] [low|pop=     98] Who was the director of Just Like Us?
2026-05-17T04:42:43 [INFO    ] PopQA_v13:   [4216/10184 | 41.4%] [low|pop=     79] What genre is Compass?
2026-05-17T04:42:51 [INFO    ] PopQA_v13:   [4217/10184 | 41.4%] [med|pop=    984] Who was the screenwriter for Company Man?
2026-05-17T04:42:57 [INFO    ] PopQA_v13:   [4218/10184 | 41.4%] [low|pop=     83] What genre is To Mother?
2026-05-17T04:43:03 [INFO    ] PopQA_v13:   [4219/10184 | 41.4%] [hig|pop=  28646] Who was the producer of The Fog?
2026-05-17T04:43:11 [INFO    ] PopQA_v13:   [4220/10184 | 41.4%] [med|pop=    269] What genre is Between God?
2026-05-17T04:43:18 [INFO    ] PopQA_v13:   [4221/10184 | 41.4%] [med|pop=    843] Who was the producer of Thirsty Work?
2026-05-17T04:43:25 [INFO    ] PopQA_v13:   [4222/10184 | 41.5%] [hig|pop= 193323] What is Rome the capital of?
2026-05-17T04:43:33 [INFO    ] PopQA_v13:   [4223/10184 | 41.5%] [med|pop=    647] Who was the producer of The Miracle?
2026-05-17T04:43:40 [INFO    ] PopQA_v13:   [4224/10184 | 41.5%] [low|pop=     92] What sport does Daniel Manzato play?
2026-05-17T04:43:43 [INFO    ] PopQA_v13:   [4225/10184 | 41.5%] [med|pop=    651] What genre is Side Effects?
2026-05-17T04:43:51 [INFO    ] PopQA_v13:   [4226/10184 | 41.5%] [hig|pop=   1334] What is Dean Alfange's occupation?
2026-05-17T04:43:57 [INFO    ] PopQA_v13:   [4227/10184 | 41.5%] [hig|pop=   1226] What genre is The Crimson Kimono?
2026-05-17T04:44:05 [INFO    ] PopQA_v13:   [4228/10184 | 41.5%] [low|pop=     29] In what country is Barre Denis?
2026-05-17T04:44:11 [INFO    ] PopQA_v13:   [4229/10184 | 41.5%] [med|pop=    712] Who is the author of It!?
2026-05-17T04:44:17 [INFO    ] PopQA_v13:   [4230/10184 | 41.5%] [low|pop=     44] In what country is Contest?
2026-05-17T04:44:21 [INFO    ] PopQA_v13:   [4231/10184 | 41.5%] [med|pop=    365] Who is the father of Zhang Tianxi?
2026-05-17T04:44:32 [INFO    ] PopQA_v13:   [4232/10184 | 41.6%] [low|pop=     27] In what country is Karahasanlı?
2026-05-17T04:44:39 [INFO    ] PopQA_v13:   [4233/10184 | 41.6%] [hig|pop=   8108] Who was the screenwriter for Legend?
2026-05-17T04:44:44 [INFO    ] PopQA_v13:   [4234/10184 | 41.6%] [low|pop=     82] Who was the screenwriter for Democracy?
2026-05-17T04:44:49 [INFO    ] PopQA_v13:   [4235/10184 | 41.6%] [low|pop=     54] What is Frances Josephy's occupation?
2026-05-17T04:44:53 [INFO    ] PopQA_v13:   [4236/10184 | 41.6%] [low|pop=     90] In what city was Annika Billstam born?
2026-05-17T04:45:00 [INFO    ] PopQA_v13:   [4237/10184 | 41.6%] [med|pop=    107] Who was the producer of Evidence?
2026-05-17T04:45:05 [INFO    ] PopQA_v13:   [4238/10184 | 41.6%] [low|pop=     56] In what country is Le Moustoir?
2026-05-17T04:45:12 [INFO    ] PopQA_v13:   [4239/10184 | 41.6%] [low|pop=     67] Who was the producer of De Laatste Dagen van een Eiland
2026-05-17T04:45:17 [INFO    ] PopQA_v13:   [4240/10184 | 41.6%] [med|pop=    153] Who was the composer of Das neugeborne Kindelein, BWV 1
2026-05-17T04:45:28 [INFO    ] PopQA_v13:   [4241/10184 | 41.6%] [hig|pop=   1566] What genre is Q?
2026-05-17T04:45:33 [INFO    ] PopQA_v13:   [4242/10184 | 41.7%] [med|pop=    615] Who was the producer of Pay Day?
2026-05-17T04:45:42 [INFO    ] PopQA_v13:   [4243/10184 | 41.7%] [hig|pop=   3215] Who is the author of The Dirt?
2026-05-17T04:45:52 [INFO    ] PopQA_v13:   [4244/10184 | 41.7%] [low|pop=     58] Who was the composer of One?
2026-05-17T04:46:01 [INFO    ] PopQA_v13:   [4245/10184 | 41.7%] [med|pop=    323] Who was the producer of Northern Lights?
2026-05-17T04:46:09 [INFO    ] PopQA_v13:   [4246/10184 | 41.7%] [hig|pop=   1912] Who was the producer of Movie Movie?
2026-05-17T04:46:14 [INFO    ] PopQA_v13:   [4247/10184 | 41.7%] [low|pop=     40] In what country is Rubim do Norte River?
2026-05-17T04:46:20 [INFO    ] PopQA_v13:   [4248/10184 | 41.7%] [hig|pop=  15298] Who was the director of Election?
2026-05-17T04:46:26 [INFO    ] PopQA_v13:   [4249/10184 | 41.7%] [low|pop=     60] What is the capital of arrondissement of Nogent-le-Rotr
2026-05-17T04:46:35 [INFO    ] PopQA_v13:   [4250/10184 | 41.7%] [med|pop=    253] Who was the director of Rebellion?
2026-05-17T04:46:39 [INFO    ] PopQA_v13:   [4251/10184 | 41.7%] [hig|pop=   4128] Who is the mother of Speed?
2026-05-17T04:46:49 [INFO    ] PopQA_v13:   [4252/10184 | 41.8%] [low|pop=     38] What sport does Sandar IL play?
2026-05-17T04:46:53 [INFO    ] PopQA_v13:   [4253/10184 | 41.8%] [low|pop=      8] In what country is Alexeni River?
2026-05-17T04:47:01 [INFO    ] PopQA_v13:   [4254/10184 | 41.8%] [hig|pop=   1780] What is the capital of Meta?
2026-05-17T04:47:05 [INFO    ] PopQA_v13:   [4255/10184 | 41.8%] [low|pop=      3] In what country is Valea Pleșii River?
2026-05-17T04:47:11 [INFO    ] PopQA_v13:   [4256/10184 | 41.8%] [hig|pop=  50033] Who is the father of Arjuna?
2026-05-17T04:47:20 [INFO    ] PopQA_v13:   [4257/10184 | 41.8%] [hig|pop=   5011] Who was the producer of Good Night?
2026-05-17T04:47:24 [INFO    ] PopQA_v13:   [4258/10184 | 41.8%] [low|pop=     83] Who is the author of Baby?
2026-05-17T04:47:27 [INFO    ] PopQA_v13:   [4259/10184 | 41.8%] [hig|pop=   5887] Who was the producer of Opera?
2026-05-17T04:47:34 [INFO    ] PopQA_v13:   [4260/10184 | 41.8%] [med|pop=    309] What is Gabriel Gonsum Ganaka's occupation?
2026-05-17T04:47:39 [INFO    ] PopQA_v13:   [4261/10184 | 41.8%] [med|pop=    730] Who is the author of Born?
2026-05-17T04:47:45 [INFO    ] PopQA_v13:   [4262/10184 | 41.8%] [low|pop=     77] In what city was Anatoly Georgievich Ufimtsev born?
2026-05-17T04:47:52 [INFO    ] PopQA_v13:   [4263/10184 | 41.9%] [hig|pop= 151391] Who is the father of James VI and I?
2026-05-17T04:48:03 [INFO    ] PopQA_v13:   [4264/10184 | 41.9%] [hig|pop=   3243] Who was the composer of Off the Wall?
2026-05-17T04:48:11 [INFO    ] PopQA_v13:   [4265/10184 | 41.9%] [hig|pop=  10356] Who was the composer of Queen?
2026-05-17T04:48:17 [INFO    ] PopQA_v13:   [4266/10184 | 41.9%] [hig|pop=   1909] What is the capital of Riley County?
2026-05-17T04:48:23 [INFO    ] PopQA_v13:   [4267/10184 | 41.9%] [med|pop=    518] Who is the author of A Man?
2026-05-17T04:48:29 [INFO    ] PopQA_v13:   [4268/10184 | 41.9%] [med|pop=    322] Who is the author of Sir Thursday?
2026-05-17T04:48:35 [INFO    ] PopQA_v13:   [4269/10184 | 41.9%] [low|pop=     96] In what city was Diana Estrada born?
2026-05-17T04:48:43 [INFO    ] PopQA_v13:   [4270/10184 | 41.9%] [hig|pop=  82626] Who was the composer of The Fly?
2026-05-17T04:48:50 [INFO    ] PopQA_v13:   [4271/10184 | 41.9%] [med|pop=    158] Who is the author of Rash?
2026-05-17T04:48:54 [INFO    ] PopQA_v13:   [4272/10184 | 41.9%] [hig|pop=  15881] What genre is 10 Years?
2026-05-17T04:48:57 [INFO    ] PopQA_v13:   [4273/10184 | 42.0%] [hig|pop=   1202] What genre is Quick?
2026-05-17T04:49:02 [INFO    ] PopQA_v13:   [4274/10184 | 42.0%] [low|pop=     99] In what country is Mavjinjava?
2026-05-17T04:49:07 [INFO    ] PopQA_v13:   [4275/10184 | 42.0%] [hig|pop=  31205] Who was the producer of Secretary?
2026-05-17T04:49:14 [INFO    ] PopQA_v13:   [4276/10184 | 42.0%] [hig|pop=   4897] Who was the composer of Gentleman?
2026-05-17T04:49:21 [INFO    ] PopQA_v13:   [4277/10184 | 42.0%] [low|pop=     73] Who was the composer of Big Foot?
2026-05-17T04:49:28 [INFO    ] PopQA_v13:   [4278/10184 | 42.0%] [med|pop=    577] In what city was Will Little born?
2026-05-17T04:49:33 [INFO    ] PopQA_v13:   [4279/10184 | 42.0%] [low|pop=     66] What genre is Bridge?
2026-05-17T04:49:41 [INFO    ] PopQA_v13:   [4280/10184 | 42.0%] [med|pop=    679] Who was the director of Romance?
2026-05-17T04:49:47 [INFO    ] PopQA_v13:   [4281/10184 | 42.0%] [hig|pop=  15269] Who was the screenwriter for Saw?
2026-05-17T04:49:52 [INFO    ] PopQA_v13:   [4282/10184 | 42.0%] [low|pop=     41] Who is the author of Malvaloca?
2026-05-17T04:50:01 [INFO    ] PopQA_v13:   [4283/10184 | 42.1%] [low|pop=     20] In what country is Kowale, Lower Silesian Voivodeship?
2026-05-17T04:50:08 [INFO    ] PopQA_v13:   [4284/10184 | 42.1%] [hig|pop=   7339] Who is the father of Helena Wayne?
2026-05-17T04:50:14 [INFO    ] PopQA_v13:   [4285/10184 | 42.1%] [med|pop=    118] Who is the author of Home?
2026-05-17T04:50:23 [INFO    ] PopQA_v13:   [4286/10184 | 42.1%] [low|pop=     92] What genre is In Silence?
2026-05-17T04:50:30 [INFO    ] PopQA_v13:   [4287/10184 | 42.1%] [hig|pop=  39049] Who was the director of 42?
2026-05-17T04:50:35 [INFO    ] PopQA_v13:   [4288/10184 | 42.1%] [med|pop=    130] What genre is Love?
2026-05-17T04:50:44 [INFO    ] PopQA_v13:   [4289/10184 | 42.1%] [med|pop=    189] Who is the author of Passion Play?
2026-05-17T04:50:50 [INFO    ] PopQA_v13:   [4290/10184 | 42.1%] [med|pop=    201] What is the religion of Adam Exner?
2026-05-17T04:50:58 [INFO    ] PopQA_v13:   [4291/10184 | 42.1%] [med|pop=    482] Who was the producer of The Dentist?
2026-05-17T04:51:06 [INFO    ] PopQA_v13:   [4292/10184 | 42.1%] [med|pop=    211] What is the capital of Murray Shire?
2026-05-17T04:51:11 [INFO    ] PopQA_v13:   [4293/10184 | 42.2%] [med|pop=    211] Who was the composer of Going Up?
2026-05-17T04:51:20 [INFO    ] PopQA_v13:   [4294/10184 | 42.2%] [med|pop=    422] What genre is The Court?
2026-05-17T04:51:30 [INFO    ] PopQA_v13:   [4295/10184 | 42.2%] [hig|pop=   3673] Who was the director of The Unbelievable Truth?
2026-05-17T04:51:37 [INFO    ] PopQA_v13:   [4296/10184 | 42.2%] [med|pop=    202] Who was the director of Hell on Wheels?
2026-05-17T04:51:44 [INFO    ] PopQA_v13:   [4297/10184 | 42.2%] [hig|pop=   3945] What is the religion of Mohamed Said Ramadan Al-Bouti?
2026-05-17T04:51:51 [INFO    ] PopQA_v13:   [4298/10184 | 42.2%] [hig|pop=  23729] Who was the producer of Doubt?
2026-05-17T04:51:57 [INFO    ] PopQA_v13:   [4299/10184 | 42.2%] [low|pop=     56] In what city was Gustavo Grondona born?
2026-05-17T04:52:03 [INFO    ] PopQA_v13:   [4300/10184 | 42.2%] [low|pop=     92] What genre is Theatre?
2026-05-17T04:52:11 [INFO    ] PopQA_v13:   [4301/10184 | 42.2%] [low|pop=     57] What is Kyriakos Mavronikolas's occupation?
2026-05-17T04:52:17 [INFO    ] PopQA_v13:   [4302/10184 | 42.2%] [hig|pop=   1716] Who was the producer of Happy Christmas?
2026-05-17T04:52:28 [INFO    ] PopQA_v13:   [4303/10184 | 42.3%] [med|pop=    421] What is Nora the capital of?
2026-05-17T04:52:34 [INFO    ] PopQA_v13:   [4304/10184 | 42.3%] [low|pop=     45] What sport does Vyacheslav Chadov play?
2026-05-17T04:52:38 [INFO    ] PopQA_v13:   [4305/10184 | 42.3%] [med|pop=    776] Who is the author of Almanac of the Dead?
2026-05-17T04:52:46 [INFO    ] PopQA_v13:   [4306/10184 | 42.3%] [low|pop=     62] What is Robert Jonckheere's occupation?
2026-05-17T04:52:50 [INFO    ] PopQA_v13:   [4307/10184 | 42.3%] [low|pop=     70] What sport does Kiribati men's national basketball team
2026-05-17T04:52:56 [INFO    ] PopQA_v13:   [4308/10184 | 42.3%] [med|pop=    133] Who was the screenwriter for On Tour?
2026-05-17T04:53:03 [INFO    ] PopQA_v13:   [4309/10184 | 42.3%] [low|pop=     66] What sport does Archie Needham play?
2026-05-17T04:53:08 [INFO    ] PopQA_v13:   [4310/10184 | 42.3%] [low|pop=     91] Who was the producer of The Garden of Weeds?
